,Job_Number,Job_Type,ResidFlag,NonresFlag,Job_Status,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,HotelInit,HotelProp,OtherBInit,OtherBProp,UnitsCO,Boro,BIN,BBL,AddressNum,AddressSt,Occ_Init,Occ_Prop,Job_Desc,DateFiled,DatePermit,DateLstUpd,DateComplt,ZoningDst1,ZoningDst2,ZoningDst3,SpeclDst1,SpeclDst2,Landmark,FloorsInit,FloorsProp,Enlargemnt,Ownership,CenBlock10,BCTCB2010,BCT2010,NTA2010,NTAName10,PUMA2010,CommntyDst,CouncilDst,SchSubDist,SchCommnty,SchElmntry,SchMiddle,FireCmpany,FireBattln,FireDivsn,PolicePcnt,PL_FIRM07,PL_PFIRM15,Latitude,Longitude,GeomSource,DCPEdited,Version
882,104806104,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,6.0,6.0, , , , ,0.0,1,1002325,1001957501,81,WALKER STREET,Commercial: Not Specified (COM),Residential: Not Specified (RES),CONVERSION OF EXISTING MANUFACTURING BUILDING WITH A BULK TRANSFER TO LOFT RESIDENTIAL USE. ARCHITECTURAL WORK. A NEW CERTIFICATE OF OCCUPANCY TO BE OBTAINED.,2007-06-15,7/29/2020 0:00:00,2020-07-29,,C6-2A, , , , ,Yes,6.0,6.0, ,Private For-Profit: Condo/Co-Op,360610031001004,10031001004,1003100,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,101,1,2_1,2,530,87,L001,1,1,5, , ,40.7180617635,-74.0017520928,BIN DOB buildingfootprints, ,20Q4
2955,121187704,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,20.0,20.0, , , , ,0.0,1,1801693,1020650019,469,CONVENT AVENUE,Empty Site,Residential: 3 or More Units (R-2),RESPECTFULLY REQUEST TO FILE NEW BUILDING LOT #19 LOTS 19 &amp; 20 ARE MERGED ZONING LOTS.,2017-03-28,10/28/2020 0:00:00,2020-10-28,,R7A, , , , , ,0.0,8.0, ,Private For-Profit: Partnership,360610235011005,10235011005,1023501,MN04,Hamilton Heights,3802,109,9,6_2,6,580,401,L034,13,7,30, , ,40.827866,-73.943577,Lat/Lon geosupport, ,20Q4
3012,121188678,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,41.0,41.0, , , , ,0.0,1,1001841,1001710007,65,FRANKLIN STREET,Empty Site,Residential: 3 or More Units (R-2),ERECT NEW BUILDING,2018-07-25,8/19/2020 0:00:00,2020-08-19,,C6-4A, , , , , ,0.0,19.0, ,Private For-Profit: Corporation,360610031001009,10031001009,1003100,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,101,1,2_1,2,507,96,L001,1,1,5, , ,40.7171867204,-74.0033403634,BIN DOB buildingfootprints, ,20Q4
3022,121188847,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,183.0,183.0, , , , ,0.0,1,1091646,1019290057,212,WEST  124 STREET,Empty Site,Residential: 3 or More Units (R-2),PROPOSED 19 STORY MIXED USED DEVELOPMENT AS PER PLANS,2018-07-02,8/14/2020 0:00:00,2020-11-23,,R8, , , , , ,0.0,19.0, ,Private For-Profit: Individual,360610222001002,10222001002,1022200,MN11,Central Harlem South,3803,110,9,5_1,5,574,100,L040,11,3,28, , ,40.808675,-73.950316,Lat/Lon geosupport, ,20Q4
3023,121188856,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,168.0,168.0, , , , ,0.0,1,1091647,1019290057,224,WEST  124 STREET,Empty Site,Residential: 3 or More Units (R-2),PROPOSED 18 STORY RESIDENIAL DEVELOPMENT AS PER PLANS,2018-07-02,8/14/2020 0:00:00,2020-11-23,,R8, , , , , ,0.0,18.0, ,Private For-Profit: Individual,360610222001002,10222001002,1022200,MN11,Central Harlem South,3803,110,9,5_1,5,574,100,L040,11,3,28, , ,40.808675,-73.950316,Lat/Lon geosupport, ,20Q4
3044,121189249,Alteration,Residential, ,3. Permitted for Construction, ,2020,23.0,17.0,-6.0,0,0,0,0,0.0,1,1002831,1002180024,67,VESTRY STREET,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),"ALTERATION FILED FOR FULL BUILDING RENOVATION, RELOCATION OF FLOOR AND ADDITIO N OF NEW STORIES",2018-11-21,1/17/2020 0:00:00,2020-12-30,,C6-3A, , ,TMU, , ,9.0,13.0, ,Private For-Profit: Partnership,360610039001016,10039001016,1003900,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,101,1,2_2,2,818,94,L008,2,1,1,1,1,40.7227416469,-74.0112014906,BIN DOB buildingfootprints,hotel_init/nhotel_prop/notherb_init/notherb_prop,20Q4
3055,121189436,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,187.0,187.0, , , , ,0.0,1,1086559,1019920013,100,CLAREMONT AVENUE,Empty Site,Residential: 3 or More Units (R-2),ERECT 42 STORY RESIDENTIAL &amp; COMMUNITY FACILITY NEW  BUILDING.,2018-12-27,3/25/2020 0:00:00,2020-08-04,,R8, , , , ,Yes,0.0,42.0, ,Private For-Profit: Corporation,360610205001006,10205001006,1020500,MN09,Morningside Heights,3802,109,7,3_2,3,543,95,E047,11,3,26, , ,40.811424,-73.962137,Lat/Lon geosupport, ,20Q4
3061,121189579,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,37.0,37.0, , , , ,0.0,1,1091580,1019320005,267,WEST  126 STREET,Empty Site,Residential: 3 or More Units (R-2),NEW SEVEN (7) STORY MIXED USE BUILDING.,2019-01-16,1/27/2020 0:00:00,2020-07-27,,R7-2, , , , , ,0.0,7.0, ,"Government, City: City Agedf_incomplete['Job_Status'].unique()ncy",360610224002002,10224002002,1022400,MN03,Central Harlem North-Polo Grounds,3803,110,9,5_1,5,574,100,E037,11,3,28, , ,40.810802,-73.95,Lat/Lon geosupport, ,20Q4
3062,121189604,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,9.0,9.0,0.0, , , , ,0.0,1,1053770,1017280002,406,LENOX AVENUE,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),PROPOSE RENOVATION OF EXISTING 5-STORY PLUS CELLAR MIXED-USE BUILDING. OBTAIN NEW C OF O.,2019-01-17,1/17/2020 0:00:00,2020-03-25,,R7-2, , , , , ,5.0,5.0, ,"Government, City: City Agency",360610208001001,10208001001,1020800,MN03,Central Harlem North-Polo Grounds,3803,110,9,5_1,5,573,100,L030,16,6,32, , ,40.8109517173,-73.9426912413,BIN DOB buildingfootprints, ,20Q4
3063,121189613,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,34.0,29.0,-5.0, , , , ,0.0,1,1058151,1019170016,135,WEST  132 STREET,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),PROPOSE GUT RENOVATION OF EXISTING NEW LAW TENEMENT BUILDING. EXISTING COMMERICIAL SPACES WILL BE REMOVED AND DISCONTINUED FROM 1ST FLOOR. TOTAL NUMBER OF DWELLING UNITS WILL BE REDUCED FROM 34 UNITS TO 29 UNITS. OBTAIN NEW C OF O.,2019-01-17,8/7/2020 0:00:00,2020-09-17,,R7-2, , , , ,Yes,6.0,6.0, ,"Government, City: City Agency",360610226001002,10226001002,1022600,MN03,Central Harlem North-Polo Grounds,3803,110,9,5_1,5,571,100,E059,16,6,32, , ,40.8129591957,-73.9435440793,BIN DOB buildingfootprints, ,20Q4
